
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. led_blink_mss2, 0, 1, 0, 0, 0, 0, 0, 1, 1
.	. led_blink_mss2_sb, 0, 1, 0, 0, 0, 0, 0, 1, 0
.	.	. led_blink_mss2_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. led_blink_mss2_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. led_blink_mss2_sb_MSS, 0, 1, 0, 0, 0, 0, 0, 0, 0
